strategy,strategy_display,num_pairs,trainable_parameters,trainable_parameter_fraction,mean_target_ber_across_pairs,std_target_ber_across_pairs,mean_absolute_target_improvement,mean_relative_target_improvement,mean_oracle_recovery_ratio,mean_source_ber_change,mean_target_ber_rank,mean_partial_strategy_rank
no_adaptation,No adaptation,3,0,0.0,0.2534668307834201,0.08415752044163265,0.0,0.0,0.0,0.0,5.0,
dense_head,Dense head,3,44940,0.055263021979778705,0.24575427585177945,0.08172093456723979,0.007712554931640682,0.030936171475000385,0.04476307778155033,0.027466244167751702,4.333333333333333,3.0
channel_extractor,Channel extractor,3,177295,0.2180208607455466,0.2365597195095485,0.0784211062833932,0.016907111273871584,0.06630666370354917,0.09456092765953757,0.03652514987521697,3.0,2.0
decoder_conv1,Decoder Conv1,3,102656,0.12623677757801874,0.20922198825412322,0.06534235344445566,0.04424484252929689,0.16933950165841247,0.2375713123849299,0.0345770602756076,2.0,1.0
full_finetune,Full fine-tune,3,813202,1.0,0.16795600043402772,0.040397801809264666,0.08551083034939239,0.31539034566043234,0.4312431295876095,0.08326994154188364,1.0,
scratch,Scratch,3,813202,1.0,0.301912841796875,0.0014521883451540294,-0.04844601101345484,-0.30495403628464607,-0.5403708732196179,-0.057980990939670095,5.666666666666667,
