strategy,num_seeds,trainable_parameters,mean_target_ber_after,std_target_ber_after,mean_target_improvement,std_target_improvement,mean_source_ber_change,std_source_ber_change
dense_head,1,44940,0.28568878173828127,0.0,-0.0001693725585937833,0.0,0.00762176513671875,0.0
full_finetune,1,813202,0.27940673828125,0.0,0.006112670898437478,0.0,0.12313842773437499,0.0
no_adaptation,1,0,0.2855194091796875,0.0,0.0,0.0,0.0,0.0
scratch,1,813202,0.45595550537109375,0.0,0.0457000732421875,0.0,-0.01926116943359374,0.0
