source_pdp,target_pdp,seed,strategy,adaptation_blocks,epochs,update_steps,learning_rate,ebno_linear,test_batches,trainable_parameters,trainable_layers,source_ber_before,source_ber_after,target_ber_before,target_ber_after,target_absolute_improvement,source_ber_change,changed_weight_tensors,restored_checkpoint,first_training_loss,last_training_loss
0,4,2026,no_adaptation,2048,0,0,0.0,20.0,10,0,,0.046063232421875,0.046063232421875,0.2855194091796875,0.2855194091796875,0.0,0.0,0,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,,
0,4,2026,dense_head,2048,2,8,0.0001,20.0,10,44940,channel_est_dense_1; estimated_channel,0.046063232421875,0.05368499755859375,0.2855194091796875,0.28568878173828127,-0.0001693725585937833,0.00762176513671875,4,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9667638540267944,0.9260847568511963
0,4,2026,full_finetune,2048,2,8,0.0001,20.0,10,813202,encoder_conv_1; encoder_conv_2; encoder_conv_3; encoder_conv_4; channel_est_conv_1; channel_est_conv_2; channel_est_conv_3; channel_est_conv_4; channel_est_conv_5; channel_est_dense_1; estimated_channel; decoder_conv_1; decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2; decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2; decoder_conv_final; pred_logits_full,0.046063232421875,0.16920166015625,0.2855194091796875,0.27940673828125,0.006112670898437478,0.12313842773437499,40,/mnt/d/IC/project/code/wireless_pdp_project/outputs/checkpoints/model_trained_on_PDP0/ckpt-1,0.9667638540267944,0.547573447227478
0,4,2026,scratch,2048,2,8,0.0001,20.0,10,813202,encoder_conv_1; encoder_conv_2; encoder_conv_3; encoder_conv_4; channel_est_conv_1; channel_est_conv_2; channel_est_conv_3; channel_est_conv_4; channel_est_conv_5; channel_est_dense_1; estimated_channel; decoder_conv_1; decoder_res1_input; decoder_res1_conv1; decoder_res1_conv2; decoder_res2_input; decoder_res2_conv1; decoder_res2_conv2; decoder_conv_final; pred_logits_full,0.49934844970703124,0.4800872802734375,0.5016555786132812,0.45595550537109375,0.0457000732421875,-0.01926116943359374,40,,0.6935114860534668,0.6896600127220154
