seed,target_pdp,snr_db,method,ber,shared_source,adaptation_blocks,adaptation_epochs,adaptation_optimizer,training_optimizer,learning_rate,optimizer_momentum,particular_initialisation,rho,sigma,iadmm_iterations
2028,6,2.0,joint_no_adaptation,0.3600978851318359,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,6,4.0,joint_no_adaptation,0.3235664367675781,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,6,6.0,joint_no_adaptation,0.2838315963745117,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,6,8.0,joint_no_adaptation,0.2493419647216797,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,6,10.0,joint_no_adaptation,0.2176437377929687,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,6,12.0,joint_no_adaptation,0.1945095062255859,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,6,14.0,joint_no_adaptation,0.1741046905517578,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,6,16.0,joint_no_adaptation,0.1625747680664062,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,6,18.0,joint_no_adaptation,0.1543922424316406,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,6,20.0,joint_no_adaptation,0.1509218215942382,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,7,0.0,joint_no_adaptation,0.3950538635253906,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,7,2.0,joint_no_adaptation,0.3612775802612304,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,7,4.0,joint_no_adaptation,0.3248262405395508,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,7,6.0,joint_no_adaptation,0.2891902923583984,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,7,8.0,joint_no_adaptation,0.2544717788696289,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,7,10.0,joint_no_adaptation,0.2258386611938476,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,7,12.0,joint_no_adaptation,0.2011280059814453,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,7,14.0,joint_no_adaptation,0.1827516555786132,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,7,16.0,joint_no_adaptation,0.1713199615478515,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,7,18.0,joint_no_adaptation,0.1655082702636718,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2028,7,20.0,joint_no_adaptation,0.1580772399902343,ordinary_joint_training_PDP0_to_PDP5,0,0,none,SGD,0.0,,,,,
2026,6,0.0,joint_particular_adaptation,0.3897409439086914,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,6,2.0,joint_particular_adaptation,0.3522710800170898,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,6,4.0,joint_particular_adaptation,0.3169775009155273,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,6,6.0,joint_particular_adaptation,0.2803382873535156,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,6,8.0,joint_particular_adaptation,0.2425031661987304,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,6,10.0,joint_particular_adaptation,0.2112483978271484,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,6,12.0,joint_particular_adaptation,0.1888904571533203,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,6,14.0,joint_particular_adaptation,0.1703405380249023,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,6,16.0,joint_particular_adaptation,0.1581382751464843,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,6,18.0,joint_particular_adaptation,0.1490354537963867,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,6,20.0,joint_particular_adaptation,0.1460742950439453,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,7,0.0,joint_particular_adaptation,0.3917417526245117,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,7,2.0,joint_particular_adaptation,0.3587255477905273,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
2026,7,4.0,joint_particular_adaptation,0.3191671371459961,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,,0.01,0.0,,,,
