seed,target_pdp,snr_db,method,ber,adaptation_blocks,adaptation_epochs,learning_rate,adaptation_optimizer,optimizer_momentum,particular_initialisation,shared_source,rho,sigma,iadmm_iterations
2027,7,2.0,algorithm1_particular_adaptation,0.3160848617553711,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2027,7,4.0,algorithm1_particular_adaptation,0.26843738555908203,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2027,7,6.0,algorithm1_particular_adaptation,0.22130298614501953,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2027,7,8.0,algorithm1_particular_adaptation,0.1772298812866211,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2027,7,10.0,algorithm1_particular_adaptation,0.14166641235351562,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2027,7,12.0,algorithm1_particular_adaptation,0.11366748809814453,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2027,7,14.0,algorithm1_particular_adaptation,0.09497451782226562,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2027,7,16.0,algorithm1_particular_adaptation,0.08174514770507812,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2027,7,18.0,algorithm1_particular_adaptation,0.07338237762451172,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2027,7,20.0,algorithm1_particular_adaptation,0.06761741638183594,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,6,0.0,algorithm1_particular_adaptation,0.36356544494628906,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,6,2.0,algorithm1_particular_adaptation,0.3190116882324219,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,6,4.0,algorithm1_particular_adaptation,0.27208900451660156,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,6,6.0,algorithm1_particular_adaptation,0.2228870391845703,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,6,8.0,algorithm1_particular_adaptation,0.1791973114013672,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,6,10.0,algorithm1_particular_adaptation,0.1434793472290039,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,6,12.0,algorithm1_particular_adaptation,0.11438751220703125,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,6,14.0,algorithm1_particular_adaptation,0.0936126708984375,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,6,16.0,algorithm1_particular_adaptation,0.08001136779785156,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,6,18.0,algorithm1_particular_adaptation,0.07208633422851562,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,6,20.0,algorithm1_particular_adaptation,0.06682586669921875,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,7,0.0,algorithm1_particular_adaptation,0.3624229431152344,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,7,2.0,algorithm1_particular_adaptation,0.31737804412841797,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,7,4.0,algorithm1_particular_adaptation,0.26946544647216797,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,7,6.0,algorithm1_particular_adaptation,0.22224140167236328,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,7,8.0,algorithm1_particular_adaptation,0.18009471893310547,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,7,10.0,algorithm1_particular_adaptation,0.14422035217285156,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,7,12.0,algorithm1_particular_adaptation,0.11542034149169922,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,7,14.0,algorithm1_particular_adaptation,0.0953378677368164,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,7,16.0,algorithm1_particular_adaptation,0.0816965103149414,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,7,18.0,algorithm1_particular_adaptation,0.07375240325927734,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
2028,7,20.0,algorithm1_particular_adaptation,0.06803417205810547,2048,20,0.01,SGD,0.0,historical_mean,Algorithm1_iADMM_PDP0_to_PDP5,1200.0,20.0,5000
