strategy,num_seeds,trainable_parameters,trainable_percentage,mean_target_ber_before,std_target_ber_before,mean_target_ber_after,std_target_ber_after,mean_target_improvement,std_target_improvement,mean_source_ber_before,mean_source_ber_after,mean_source_ber_change,std_source_ber_change
no_adaptation,3,0,0.0,0.28283966064453125,0.00043861725574158126,0.28283966064453125,0.00043861725574158126,0.0,0.0,0.04594889322916666,0.04594889322916666,0.0,0.0
decoder_input_only,3,102656,12.623677757801875,0.28283966064453125,0.00043861725574158126,0.2492747497558594,0.0006488364921032586,0.033564910888671855,0.0005140354488887625,0.04594889322916666,0.08354176839192708,0.037592875162760414,0.0003619267792551098
decoder_residual_1_only,3,328064,40.34225198659128,0.28283966064453125,0.00043861725574158126,0.22979766845703126,0.0022850216363317767,0.05304199218749999,0.002151472007736425,0.04594889322916666,0.10535003662109375,0.059401143391927085,0.0019705766414994724
decoder_residual_2_only,3,73920,9.089992400412198,0.28283966064453125,0.00043861725574158126,0.2528466288248698,0.0007697753043214652,0.029993031819661436,0.000334525498627037,0.04594889322916666,0.10360219319661458,0.05765329996744792,0.002470112889984566
decoder_output_head_only,3,6273,0.7713950531356293,0.28283966064453125,0.00043861725574158126,0.27855758666992186,0.0006948187741396756,0.004282073974609353,0.00032420022032538095,0.04594889322916666,0.07488215128580729,0.02893325805664063,0.0009500874073864995
entire_decoder,3,510913,62.82731719794098,0.28283966064453125,0.00043861725574158126,0.22089706420898436,0.003033928489508019,0.061942596435546865,0.002735037770159514,0.04594889322916666,0.10800211588541667,0.062053222656250004,0.0030529125165306924
full_finetune,3,813202,100.0,0.28283966064453125,0.00043861725574158126,0.2031922403971354,0.0010640340090768401,0.07964742024739582,0.0007574187823723199,0.04594889322916666,0.09761077880859376,0.05166188557942709,0.0017636707117739388
