strategy,num_seeds,trainable_parameters,mean_target_ber_after,std_target_ber_after,mean_target_improvement,std_target_improvement,mean_source_ber_change,std_source_ber_change
channel_extractor,3,177295,0.28255406697591146,0.0009777547512288584,0.00029261271158851726,0.0006647909133721322,0.043278706868489586,0.0004915635020456376
decoder_conv1,3,102656,0.24927749633789062,0.0006444273669882317,0.03356918334960937,0.0005179209743232619,0.037588551839192706,0.0003745860958888088
dense_head,3,44940,0.28722137451171875,0.000944361068012491,-0.004374694824218761,0.0005219198036020719,0.036096903483072915,0.0005125410741075521
full_finetune,3,813202,0.20317911783854167,0.0010490323744846396,0.07966756184895832,0.0007486463318206262,0.05167597452799479,0.0017965609424601095
no_adaptation,3,0,0.2828466796875,0.00044030258412733374,0.0,0.0,0.0,0.0
scratch,3,813202,0.30111719767252604,0.0019650374620244753,0.19935546875000001,0.001248776649330587,-0.0771222432454427,0.003404284557961167
