seed,rho,sigma,best_iteration,best_mean_validation_ber,best_maximum_validation_ber,best_relative_primal_residual,best_relative_dual_residual,final_mean_validation_ber,final_maximum_validation_ber,final_relative_primal_residual,final_relative_dual_residual,final_mean_shared_gradient_l2,final_mean_particular_gradient_l2,final_mean_local_shared_update_l2,final_mean_particular_update_l2
2026,1200.0,20.0,5000,0.09046236673990886,0.11131858825683594,4.3416539142237574e-05,2.454407645564866e-05,0.0904623667399088,0.1113185882568359,4.341653914223757e-05,2.454407645564866e-05,1.4410715182727625,0.5528381929554393,0.0024452566136686,0.0004606993644117
2027,1200.0,20.0,5000,0.08826510111490886,0.10793495178222656,2.8951533253046196e-05,2.327757790373553e-05,0.0882651011149088,0.1079349517822265,2.89515332530462e-05,2.327757790373553e-05,1.023583976518044,0.370589310913994,0.0018572165512473,0.0003088253445004
2028,1200.0,20.0,5000,0.08880043029785156,0.10817909240722656,2.5696058456120992e-05,2.524817840107976e-05,0.0888004302978515,0.1081790924072265,2.5696058456120992e-05,2.524817840107976e-05,0.9530403492388554,0.3593073796022136,0.0017840427274028,0.000299423212575
