strategy,strategy_display,num_pairs,trainable_parameters,trainable_parameter_fraction,mean_target_ber,std_target_ber_across_pairs,sem_target_ber_across_pairs,mean_absolute_target_improvement,std_absolute_target_improvement,mean_relative_target_improvement,mean_oracle_recovery_ratio,std_oracle_recovery_ratio,mean_source_forgetting,std_source_forgetting,mean_improvement_per_100k_parameters,mean_target_ber_rank,mean_oracle_recovery_rank,mean_source_retention_rank,mean_parameter_efficiency_rank,mean_partial_target_rank,role_in_conclusion
decoder_conv1,Decoder Conv1,3,102656,0.1262367775780187,0.20922198825412322,0.06534235344445566,0.03772542535064015,0.044244842529296835,0.026509476999621792,0.1693395016584124,0.23757131238492987,0.06971624542739087,0.0345770602756076,0.024187065476919595,0.04310010377308373,2.0,2.0,4.333333333333333,1.0,1.0,Best partial adaptation; Best partial parameter efficiency
channel_extractor,Channel extractor,3,177295,0.2180208607455466,0.2365597195095485,0.0784211062833932,0.04527644682286532,0.0169071112738715,0.019170013139310504,0.06630666370354914,0.0945609276595375,0.08071069999294296,0.03652514987521697,0.025840958613451398,0.0095361466899075,3.0,3.0,4.666666666666667,3.0,2.0,
dense_head,Dense head,3,44940,0.0552630219797787,0.24575427585177945,0.08172093456723979,0.04718160357082369,0.007712554931640633,0.012488931218789197,0.030936171475000367,0.04476307778155034,0.056494759310989386,0.027466244167751702,0.01938602175970223,0.01716189348384663,4.333333333333333,4.333333333333333,3.0,2.6666666666666665,3.0,
