strategy,num_seeds,trainable_parameters,mean_target_ber_after,std_target_ber_after,mean_target_improvement,std_target_improvement,mean_source_ber_change,std_source_ber_change
channel_extractor,3,177295,0.28111445109049477,0.0011769019265522765,0.037881571451822936,0.0005352227571097241,0.05831873575846354,0.003528168132087605
decoder_conv1,3,102656,0.24456832885742188,0.0006590482969379168,0.07442769368489584,0.00031645199411666413,0.05711736043294271,0.0008167378749849891
dense_head,3,44940,0.29842829386393227,0.00046784993357864695,0.020567728678385428,0.00025580732226198184,0.041038106282552084,0.00023441693473882032
full_finetune,3,813202,0.17682993570963543,0.0015848781241270407,0.1421660868326823,0.002067363153816748,0.1856389872233073,0.008118305486381584
no_adaptation,3,0,0.31899602254231774,0.000656526955800737,0.0,0.0,0.0,0.0
scratch,3,813202,0.30358896891276044,0.004756835648650165,0.1963831075032552,0.005030879874151507,-0.011971486409505202,0.0038178328858863315
