method,support_size,target_pdp,snr_db,seed_count,mean_ber,std_ber,min_ber,max_ber
algorithm1_particular_adaptation,64,6,0.0,3,0.3778057098388672,0.003051227980555547,0.3736410140991211,0.38086605072021484
algorithm1_particular_adaptation,64,6,2.0,3,0.3407662709554036,0.0033929575605634713,0.33597278594970703,0.3433504104614258
algorithm1_particular_adaptation,64,6,4.0,3,0.30256207784016925,0.004700774461040477,0.29614830017089844,0.3072834014892578
algorithm1_particular_adaptation,64,6,6.0,3,0.26531632741292316,0.00637319191598364,0.25650501251220703,0.2713642120361328
algorithm1_particular_adaptation,64,6,8.0,3,0.23239676157633463,0.007021553876402906,0.2228546142578125,0.2395477294921875
algorithm1_particular_adaptation,64,6,10.0,3,0.20557181040445963,0.009028175212778997,0.1932382583618164,0.2145977020263672
algorithm1_particular_adaptation,64,6,12.0,3,0.18546231587727866,0.009199660220704033,0.1727886199951172,0.19434547424316406
algorithm1_particular_adaptation,64,6,14.0,3,0.17047850290934244,0.010933592297668765,0.15564632415771484,0.18167877197265625
algorithm1_particular_adaptation,64,6,16.0,3,0.16001605987548828,0.01093135309148625,0.14525318145751953,0.1713705062866211
algorithm1_particular_adaptation,64,6,18.0,3,0.152681032816569,0.010567294755771867,0.13857460021972656,0.16400718688964844
algorithm1_particular_adaptation,64,6,20.0,3,0.1496562957763672,0.010912574820146681,0.13478374481201172,0.1606607437133789
algorithm1_particular_adaptation,64,7,0.0,3,0.3723929723103841,0.002377167395773464,0.3701286315917969,0.37567710876464844
algorithm1_particular_adaptation,64,7,2.0,3,0.33374691009521484,0.00225775877037096,0.3315105438232422,0.3368387222290039
algorithm1_particular_adaptation,64,7,4.0,3,0.29364363352457684,0.0037017914394188198,0.2904796600341797,0.29883766174316406
algorithm1_particular_adaptation,64,7,6.0,3,0.25622081756591797,0.004379100289432756,0.2522916793823242,0.2623310089111328
algorithm1_particular_adaptation,64,7,8.0,3,0.22234821319580078,0.006271567122818899,0.2178668975830078,0.2312173843383789
algorithm1_particular_adaptation,64,7,10.0,3,0.1953617731730143,0.007696798925802539,0.18934059143066406,0.20622539520263672
algorithm1_particular_adaptation,64,7,12.0,3,0.1740115483601888,0.007530103230374785,0.168121337890625,0.18463993072509766
algorithm1_particular_adaptation,64,7,14.0,3,0.1587848663330078,0.007663415436015263,0.15308570861816406,0.1696176528930664
