seed,target_pdp,snr_db,method,ber,shared_source,adaptation_blocks,adaptation_epochs,adaptation_optimizer,training_optimizer,learning_rate,support_size,rho,sigma,iadmm_iterations
2026,6,0.0,algorithm1_particular_adaptation,0.3652181625366211,Algorithm1_iADMM_PDP0_to_PDP5,1024,20,SGD,nan,0.01,1024,1200.0,20.0,5000.0
2026,6,2.0,algorithm1_particular_adaptation,0.3206939697265625,Algorithm1_iADMM_PDP0_to_PDP5,1024,20,SGD,nan,0.01,1024,1200.0,20.0,5000.0
2026,6,4.0,algorithm1_particular_adaptation,0.2744951248168945,Algorithm1_iADMM_PDP0_to_PDP5,1024,20,SGD,nan,0.01,1024,1200.0,20.0,5000.0
2026,6,6.0,algorithm1_particular_adaptation,0.2284765243530273,Algorithm1_iADMM_PDP0_to_PDP5,1024,20,SGD,nan,0.01,1024,1200.0,20.0,5000.0
2026,6,8.0,algorithm1_particular_adaptation,0.1835622787475586,Algorithm1_iADMM_PDP0_to_PDP5,1024,20,SGD,nan,0.01,1024,1200.0,20.0,5000.0
2026,6,10.0,algorithm1_particular_adaptation,0.1455297470092773,Algorithm1_iADMM_PDP0_to_PDP5,1024,20,SGD,nan,0.01,1024,1200.0,20.0,5000.0
2026,6,12.0,algorithm1_particular_adaptation,0.1172189712524414,Algorithm1_iADMM_PDP0_to_PDP5,1024,20,SGD,nan,0.01,1024,1200.0,20.0,5000.0
2026,6,14.0,algorithm1_particular_adaptation,0.0976285934448242,Algorithm1_iADMM_PDP0_to_PDP5,1024,20,SGD,nan,0.01,1024,1200.0,20.0,5000.0
2026,6,16.0,algorithm1_particular_adaptation,0.0829715728759765,Algorithm1_iADMM_PDP0_to_PDP5,1024,20,SGD,nan,0.01,1024,1200.0,20.0,5000.0
2026,6,18.0,algorithm1_particular_adaptation,0.0744104385375976,Algorithm1_iADMM_PDP0_to_PDP5,1024,20,SGD,nan,0.01,1024,1200.0,20.0,5000.0
2026,6,20.0,algorithm1_particular_adaptation,0.0688123703002929,Algorithm1_iADMM_PDP0_to_PDP5,1024,20,SGD,nan,0.01,1024,1200.0,20.0,5000.0
2026,6,0.0,joint_particular_adaptation,0.3897409439086914,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,nan,nan,nan
2026,6,2.0,joint_particular_adaptation,0.3522710800170898,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,nan,nan,nan
2026,6,4.0,joint_particular_adaptation,0.3169775009155273,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,nan,nan,nan
2026,6,6.0,joint_particular_adaptation,0.2803382873535156,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,nan,nan,nan
2026,6,8.0,joint_particular_adaptation,0.2425031661987304,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,nan,nan,nan
2026,6,10.0,joint_particular_adaptation,0.2112483978271484,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,nan,nan,nan
2026,6,12.0,joint_particular_adaptation,0.1888904571533203,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,nan,nan,nan
2026,6,14.0,joint_particular_adaptation,0.1703405380249023,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,nan,nan,nan
2026,6,16.0,joint_particular_adaptation,0.1581382751464843,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,nan,nan,nan
2026,6,18.0,joint_particular_adaptation,0.1490354537963867,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,nan,nan,nan
2026,6,20.0,joint_particular_adaptation,0.1460742950439453,ordinary_joint_training_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,nan,nan,nan
2026,6,0.0,algorithm1_particular_adaptation,0.3636188507080078,Algorithm1_iADMM_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,1200.0,20.0,5000.0
2026,6,2.0,algorithm1_particular_adaptation,0.3171491622924804,Algorithm1_iADMM_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,1200.0,20.0,5000.0
2026,6,4.0,algorithm1_particular_adaptation,0.2719964981079101,Algorithm1_iADMM_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,1200.0,20.0,5000.0
2026,6,6.0,algorithm1_particular_adaptation,0.2250499725341797,Algorithm1_iADMM_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,1200.0,20.0,5000.0
2026,6,8.0,algorithm1_particular_adaptation,0.1797685623168945,Algorithm1_iADMM_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,1200.0,20.0,5000.0
2026,6,10.0,algorithm1_particular_adaptation,0.1428747177124023,Algorithm1_iADMM_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,1200.0,20.0,5000.0
2026,6,12.0,algorithm1_particular_adaptation,0.1152009963989257,Algorithm1_iADMM_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,1200.0,20.0,5000.0
2026,6,14.0,algorithm1_particular_adaptation,0.0950307846069336,Algorithm1_iADMM_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,1200.0,20.0,5000.0
2026,6,16.0,algorithm1_particular_adaptation,0.0807018280029296,Algorithm1_iADMM_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,1200.0,20.0,5000.0
2026,6,18.0,algorithm1_particular_adaptation,0.0725536346435546,Algorithm1_iADMM_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,1200.0,20.0,5000.0
2026,6,20.0,algorithm1_particular_adaptation,0.0668115615844726,Algorithm1_iADMM_PDP0_to_PDP5,2048,20,SGD,nan,0.01,2048,1200.0,20.0,5000.0
2026,6,0.0,joint_particular_adaptation,0.3881464004516601,ordinary_joint_training_PDP0_to_PDP5,4096,20,SGD,nan,0.01,4096,nan,nan,nan
2026,6,2.0,joint_particular_adaptation,0.3518648147583008,ordinary_joint_training_PDP0_to_PDP5,4096,20,SGD,nan,0.01,4096,nan,nan,nan
2026,6,4.0,joint_particular_adaptation,0.3153600692749023,ordinary_joint_training_PDP0_to_PDP5,4096,20,SGD,nan,0.01,4096,nan,nan,nan
2026,6,6.0,joint_particular_adaptation,0.2774438858032226,ordinary_joint_training_PDP0_to_PDP5,4096,20,SGD,nan,0.01,4096,nan,nan,nan
2026,6,8.0,joint_particular_adaptation,0.2402639389038086,ordinary_joint_training_PDP0_to_PDP5,4096,20,SGD,nan,0.01,4096,nan,nan,nan
2026,6,10.0,joint_particular_adaptation,0.2085590362548828,ordinary_joint_training_PDP0_to_PDP5,4096,20,SGD,nan,0.01,4096,nan,nan,nan
2026,6,12.0,joint_particular_adaptation,0.1858768463134765,ordinary_joint_training_PDP0_to_PDP5,4096,20,SGD,nan,0.01,4096,nan,nan,nan
2026,6,14.0,joint_particular_adaptation,0.166630744934082,ordinary_joint_training_PDP0_to_PDP5,4096,20,SGD,nan,0.01,4096,nan,nan,nan
2026,6,16.0,joint_particular_adaptation,0.1554861068725586,ordinary_joint_training_PDP0_to_PDP5,4096,20,SGD,nan,0.01,4096,nan,nan,nan
2026,6,18.0,joint_particular_adaptation,0.1454496383666992,ordinary_joint_training_PDP0_to_PDP5,4096,20,SGD,nan,0.01,4096,nan,nan,nan
