method,support_size,mean_ber_all,high_snr_mean_ber,pdp6_mean_ber,pdp7_mean_ber,mean_ber_at_10dB,mean_ber_at_14dB,mean_ber_at_20dB
algorithm1_particular_adaptation,64,0.22608822042291815,0.1647284295823839,0.23115574229847302,0.22102069854736328,0.20046679178873697,0.16463168462117514,0.1427151362101237
algorithm1_particular_adaptation,128,0.19577913573293976,0.12253676520453559,0.19638399644331497,0.19517427502256451,0.16701745986938477,0.1221152941385905,0.09499867757161458
algorithm1_particular_adaptation,256,0.17987710779363458,0.10141846868726942,0.1806476188428474,0.17910659674442175,0.14838393529256186,0.10032860438028972,0.07324632008870442
algorithm1_particular_adaptation,512,0.17887233965324634,0.09954391585455996,0.17902512983842325,0.1787195494680693,0.14693625768025712,0.09850660959879554,0.07130702336629226
algorithm1_particular_adaptation,1024,0.17747598705869733,0.09802818298339841,0.177513989535245,0.1774379845821496,0.1453003883361816,0.09716622034708657,0.06978082656860349
algorithm1_particular_adaptation,2048,0.1753453052405155,0.09590421782599551,0.1752205473003965,0.17547006318063443,0.14310455322265622,0.09495147069295246,0.0678482055664062
algorithm1_particular_adaptation,4096,0.17273540207833954,0.09313397937350801,0.17244862065170746,0.17302218350497156,0.1398827234903971,0.09214289983113605,0.06545861562093096
algorithm1_particular_adaptation,8192,0.16990226687807022,0.09008826149834524,0.16955835169011893,0.17024618206602155,0.13683191935221353,0.08890295028686518,0.06255880991617835
joint_particular_adaptation,64,0.2504610870823716,0.19224116537306044,0.24688214966745087,0.25404002449729224,0.2246255874633789,0.19121440251668295,0.1735706329345703
joint_particular_adaptation,128,0.2446807659033573,0.1825347211625841,0.24142158392703894,0.24793994787967566,0.21890862782796225,0.18173948923746744,0.16101153691609701
joint_particular_adaptation,256,0.24278909509832208,0.17870720227559408,0.23939124020663174,0.24618694999001242,0.21749432881673178,0.1780087153116862,0.15534607569376627
joint_particular_adaptation,512,0.24293802723740088,0.17797735002305767,0.2397224252874201,0.24615362918738162,0.21813217798868811,0.17738707860310873,0.1534813245137532
joint_particular_adaptation,1024,0.24203452196988193,0.17700632413228348,0.23877268126516632,0.24529636267459753,0.2174116770426432,0.17631785074869788,0.15254100163777667
joint_particular_adaptation,2048,0.24059552857370087,0.1753699514600965,0.23701555078679865,0.2441755063606031,0.2156569163004557,0.1749512354532877,0.150972843170166
joint_particular_adaptation,4096,0.23840290127378522,0.1725694868299696,0.23456151557691168,0.24224428697065872,0.21334711710611978,0.17192331949869788,0.1480320294698079
joint_particular_adaptation,8192,0.23523256995461203,0.1688484085930718,0.23127532727790595,0.23918981263131806,0.2099965413411458,0.1682670911153157,0.14404137929280597
