layer_name,parameter_group,parameter_count,delta_l2,relative_delta_l2,maximum_absolute_delta,seed,target_pdp,support_size,method
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2026,6,128,algorithm1_particular_adaptation
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2026,6,128,algorithm1_particular_adaptation
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2026,6,128,algorithm1_particular_adaptation
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2026,6,128,algorithm1_particular_adaptation
channel_est_conv_5,shared,291,0.0,0.0,0.0,2026,6,128,algorithm1_particular_adaptation
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2026,6,128,algorithm1_particular_adaptation
estimated_channel,shared,4040,0.0,0.0,0.0,2026,6,128,algorithm1_particular_adaptation
decoder_conv_1,particular,102656,0.13420826196670532,0.011759583792265955,0.007172893732786179,2026,6,128,algorithm1_particular_adaptation
decoder_res1_input,particular,163968,0.2901584804058075,0.021783261578798094,0.005981147289276123,2026,6,128,algorithm1_particular_adaptation
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2026,6,128,algorithm1_particular_adaptation
decoder_res1_conv2,particular,82048,0.398209810256958,0.03362234258335504,0.01627068594098091,2026,6,128,algorithm1_particular_adaptation
decoder_res2_input,shared,41024,0.0,0.0,0.0,2026,6,128,algorithm1_particular_adaptation
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2026,6,128,algorithm1_particular_adaptation
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2026,6,128,algorithm1_particular_adaptation
decoder_conv_final,shared,6176,0.0,0.0,0.0,2026,6,128,algorithm1_particular_adaptation
pred_logits_full,shared,97,0.0,0.0,0.0,2026,6,128,algorithm1_particular_adaptation
encoder_conv_1,shared,1536,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
encoder_conv_2,shared,98432,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
encoder_conv_3,shared,24640,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
encoder_conv_4,shared,386,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
channel_est_conv_5,shared,291,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
estimated_channel,shared,4040,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
decoder_conv_1,particular,102656,0.0325985848903656,0.0028575510089259982,0.001000991091132164,2026,6,256,joint_particular_adaptation
decoder_res1_input,particular,163968,0.03672584146261215,0.0027579599415531375,0.0011667199432849884,2026,6,256,joint_particular_adaptation
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
decoder_res1_conv2,particular,82048,0.05067197233438492,0.004279631163676032,0.0016352981328964233,2026,6,256,joint_particular_adaptation
decoder_res2_input,shared,41024,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
decoder_conv_final,shared,6176,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
pred_logits_full,shared,97,0.0,0.0,0.0,2026,6,256,joint_particular_adaptation
encoder_conv_1,shared,1536,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
encoder_conv_2,shared,98432,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
encoder_conv_3,shared,24640,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
encoder_conv_4,shared,386,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
channel_est_conv_5,shared,291,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
estimated_channel,shared,4040,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
decoder_conv_1,particular,102656,0.05920163914561272,0.005187360494579957,0.002763744443655014,2026,6,256,algorithm1_particular_adaptation
decoder_res1_input,particular,163968,0.090401791036129,0.006786794094653759,0.002956898882985115,2026,6,256,algorithm1_particular_adaptation
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
decoder_res1_conv2,particular,82048,0.1279849261045456,0.010806245652802124,0.004808198660612106,2026,6,256,algorithm1_particular_adaptation
decoder_res2_input,shared,41024,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
decoder_conv_final,shared,6176,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
pred_logits_full,shared,97,0.0,0.0,0.0,2026,6,256,algorithm1_particular_adaptation
encoder_conv_1,shared,1536,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
encoder_conv_2,shared,98432,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
encoder_conv_3,shared,24640,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
encoder_conv_4,shared,386,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
channel_est_conv_5,shared,291,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
estimated_channel,shared,4040,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
decoder_conv_1,particular,102656,0.09408633410930634,0.008247489879220386,0.001844014972448349,2026,7,64,joint_particular_adaptation
decoder_res1_input,particular,163968,0.09931924939155579,0.0074584679435022,0.0020153839141130447,2026,7,64,joint_particular_adaptation
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
decoder_res1_conv2,particular,82048,0.12897613644599915,0.01089300983317507,0.0034744087606668472,2026,7,64,joint_particular_adaptation
decoder_res2_input,shared,41024,0.0,0.0,0.0,2026,7,64,joint_particular_adaptation
