strategy,num_seeds,trainable_parameters,mean_target_ber_after,std_target_ber_after,mean_target_improvement,std_target_improvement,mean_source_ber_change,std_source_ber_change
channel_extractor,3,177295,0.14601064046223958,0.0005087467076518602,0.01254714965820313,0.00011856903872282858,0.00797800699869792,0.0005119262179494016
decoder_conv1,3,102656,0.1338201395670573,0.0003517349248603158,0.02473765055338541,9.971899813263997e-05,0.009025268554687499,0.00018118853091917002
dense_head,3,44940,0.15161315917968748,0.0002779358584348167,0.006944630940755213,0.0001736150044097457,0.00526372273763021,9.98727473708952e-05
full_finetune,3,813202,0.12385894775390625,0.0003621322794854294,0.034698842366536455,0.0006449333716214506,0.012494862874348964,0.0002629194443887004
no_adaptation,3,0,0.15855779012044272,0.00042354092484454256,0.0,0.0,0.0,0.0
scratch,3,813202,0.3010323588053385,0.0022663742623536855,0.1994408162434896,0.0015361501329386677,-0.08484924316406246,0.008906176879440453
