strategy,num_seeds,trainable_parameters,trainable_percentage,mean_target_ber_before,std_target_ber_before,mean_target_ber_after,std_target_ber_after,mean_target_improvement,std_target_improvement,mean_source_ber_before,mean_source_ber_after,mean_source_ber_change,std_source_ber_change
no_adaptation,1,0,0.0,0.28551788330078126,0.0,0.28551788330078126,0.0,0.0,0.0,0.0460845947265625,0.0460845947265625,0.0,0.0
decoder_input_only,1,102656,12.623677757801875,0.28551788330078126,0.0,0.28001708984375,0.0,0.00550079345703125,0.0,0.0460845947265625,0.04859466552734375,0.00251007080078125,0.0
decoder_output_head_only,1,6273,0.7713950531356293,0.28551788330078126,0.0,0.28552703857421874,0.0,-9.155273437477796e-06,0.0,0.0460845947265625,0.0464630126953125,0.0003784179687500028,0.0
entire_decoder,1,510913,62.82731719794098,0.28551788330078126,0.0,0.29038543701171876,0.0,-0.0048675537109375,0.0,0.0460845947265625,0.09570159912109374,0.04961700439453125,0.0
full_finetune,1,813202,100.0,0.28551788330078126,0.0,0.279656982421875,0.0,0.005860900878906283,0.0,0.0460845947265625,0.16971588134765625,0.12363128662109375,0.0
